BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,PERIDOOCORRENCIA,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE
13/02/2019 20:50:01,13/02/2019 20:50:01,13/02/2019,PELA MANH�,VIADUTO RAQUEL MARCONDES,184,CENTRO,S.JOSE DOS CAMPOS,SP,-23,1870878989999
14/02/2019 12:54:31,14/02/2019 12:54:29,14/02/1988,PELA MANH�,RUA DONA VICENTINA,652,JARDIM S HERMINIA,S.JOSE DOS CAMPOS,SP,-23,204709
14/02/2019 10:51:50,14/02/2019 13:26:09,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
14/02/2019 10:51:50,14/02/2019 13:26:09,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
14/02/2019 10:51:50,14/02/2019 13:26:09,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
14/02/2019 10:51:50,14/02/2019 13:26:09,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
14/02/2019 10:51:50,14/02/2019 13:26:09,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
14/02/2019 10:51:50,14/02/2019 13:26:09,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
14/02/2019 10:51:50,14/02/2019 13:26:09,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
14/02/2019 10:51:50,14/02/2019 13:26:09,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
14/02/2019 10:51:50,14/02/2019 13:26:09,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
14/02/2019 10:51:50,14/02/2019 13:26:09,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
14/02/2019 10:51:50,14/02/2019 13:26:09,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
14/02/2019 10:51:50,14/02/2019 13:26:09,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
14/02/2019 16:33:02,14/02/2019 16:50:41,11/02/2019,A NOITE,RUA BENEDITO ANACLETO DE ARA�JO,1,VILA PANTALE�O,CACAPAVA,SP,-23,9473465
15/02/2019 01:28:28,15/02/2019 01:28:17,14/02/2019,A TARDE,RUA IONE MITICO HAYASHI,960,RESIDENCIAL BOSQUE DOS IPES,S.JOSE DOS CAMPOS,SP,-23,2532002
15/02/2019 13:24:33,15/02/2019 13:55:13,11/02/2019,A NOITE,AVENIDA BRASIL,0,JARDIM ITAMARATI,CACAPAVA,SP,-23,108511267
15/02/2019 16:31:42,15/02/2019 17:07:31,15/02/2019,A TARDE,RUA DOS SERRALHEIROS,150,PARQUE NOVO HORIZONTE,S.JOSE DOS CAMPOS,SP,-23,197967100607
15/02/2019 17:57:13,15/02/2019 18:40:05,15/02/2019,PELA MANH�,RODOVIA RODOVIA PRESIDENTE DUTRA,1,EUG�NIO DE MELO,S.JOSE DOS CAMPOS,SP,-23,158296026
15/02/2019 18:53:15,15/02/2019 19:02:54,15/02/2019,A TARDE,RUA DOS AMORES-PERFEITOS,148,JARDIM DAS IND�STRIAS,S.JOSE DOS CAMPOS,SP,-23,2286056340391
15/02/2019 19:32:59,15/02/2019 20:14:24,15/02/2019,PELA MANH�,RUA DOUTOR MIGUEL JANSEN FILHO,10,PARQUE RESIDENCIAL UNI�O,S.JOSE DOS CAMPOS,SP,-23,2643166478421
16/02/2019 11:35:34,16/02/2019 12:00:46,16/02/2019,DE MADRUGADA,AVENIDA ADILSON JOSE DA CRUZ,10,CONJUNTO RESIDENCIAL PAPA JO�O PAULO II,S.JOSE DOS CAMPOS,SP,-23,2794164871715
17/02/2019 10:22:26,17/02/2019 10:39:36,17/02/2019,DE MADRUGADA,RUA PEDRO TURSI,1,JARDIM SAT�LITE,S.JOSE DOS CAMPOS,SP,-23,221108918
17/02/2019 15:01:36,17/02/2019 16:47:50,16/02/2019,A NOITE,RUA CONSELHEIRO RODRIGUES ALVES,1,JARDIM MATARAZZO,S.JOSE DOS CAMPOS,SP,-23,1853031389999
17/02/2019 15:01:36,17/02/2019 16:47:50,16/02/2019,A NOITE,RUA CONSELHEIRO RODRIGUES ALVES,1,JARDIM MATARAZZO,S.JOSE DOS CAMPOS,SP,-23,1853031389999
17/02/2019 15:01:36,17/02/2019 16:47:50,16/02/2019,A NOITE,RUA CONSELHEIRO RODRIGUES ALVES,1,JARDIM MATARAZZO,S.JOSE DOS CAMPOS,SP,-23,1853031389999
17/02/2019 15:01:36,17/02/2019 16:47:50,16/02/2019,A NOITE,RUA CONSELHEIRO RODRIGUES ALVES,1,JARDIM MATARAZZO,S.JOSE DOS CAMPOS,SP,-23,1853031389999
18/02/2019 09:16:56,18/02/2019 09:30:28,15/02/2019,A TARDE,RUA R7,1507,SANTA MARIA,S.JOSE DOS CAMPOS,SP,-23,177277391
18/02/2019 09:34:49,18/02/2019 09:46:47,15/02/2019,A NOITE,AVENIDA HENRY NESTL�,1,JARDIM ITAMARATI,CACAPAVA,SP,-23,1125815789999
18/02/2019 10:35:28,18/02/2019 11:36:39,16/02/2019,PELA MANH�,RUA JOAQUIM BAGUNHA MALDOS,1,VILA TESOURO,S.JOSE DOS CAMPOS,SP,-23,171575146
18/02/2019 18:11:27,18/02/2019 18:23:35,18/02/2019,PELA MANH�,RUA SEBASTIAO HUMEL,0,CENTRO,S.JOSE DOS CAMPOS,SP,-23,1814600709999
