BO_INICIADO,BO_EMITIDO,PERIDOOCORRENCIA,DATAELABORACAO,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,
11/03/2019 11:43:58,11/03/2019 12:10:15,A TARDE,11/03/2019 11:43:58,AVENIDA POETA OS�RIO P�RTO,23,JD BORDA DA MATA,CACAPAVA,SP,-23,1166203633129,
11/03/2019 13:25:35,11/03/2019 13:37:38,A NOITE,11/03/2019 13:25:35,RUA TORATARI TAKITANE,1,JARDIM ORIENTE,S.JOSE DOS CAMPOS,SP,-23,245141293,
11/03/2019 13:50:20,11/03/2019 14:00:47,A NOITE,11/03/2019 13:50:20,AVENIDA CASSIOPEIA,0,JARDIM SAT�LITE,S.JOSE DOS CAMPOS,SP,-23,2289831219999,
11/03/2019 14:51:21,11/03/2019 15:16:37,PELA MANHA,11/03/2019 14:51:21,AVENIDA CASSIANO RICARDO,1993,ROYAL PARK,S.JOSE DOS CAMPOS,SP,-23,2290663436289,
11/03/2019 15:08:05,11/03/2019 15:27:37,PELA MANHA,11/03/2019 15:08:05,AVENIDA JOAO RODOLFO CASTELLI,1000,JARDIM S�O JUDAS TADEU,S.JOSE DOS CAMPOS,SP,-23,244071603856,
11/03/2019 17:07:33,11/03/2019 17:21:48,A TARDE,11/03/2019 17:07:33,AVENIDA TIVOLI,111,VILA BET�NIA,S.JOSE DOS CAMPOS,SP,-23,205736187638,
12/03/2019 09:47:19,12/03/2019 09:58:22,A NOITE,12/03/2019 09:47:19,RUA SCORPIUS,0,JARDIM SAT�LITE,S.JOSE DOS CAMPOS,SP,-23,226403541,
12/03/2019 14:04:42,12/03/2019 14:19:12,PELA MANHA,12/03/2019 14:04:42,RODOVIA SP 070,0,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,24745501,
12/03/2019 14:04:42,12/03/2019 14:19:12,PELA MANHA,12/03/2019 14:04:42,RODOVIA SP 070,0,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,24745501,
12/03/2019 14:04:42,12/03/2019 14:19:12,PELA MANHA,12/03/2019 14:04:42,RODOVIA SP 070,0,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,24745501,
12/03/2019 14:04:42,12/03/2019 14:19:12,PELA MANHA,12/03/2019 14:04:42,RODOVIA SP 070,0,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,24745501,
12/03/2019 14:04:42,12/03/2019 14:19:12,PELA MANHA,12/03/2019 14:04:42,RODOVIA SP 070,0,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,24745501,
12/03/2019 14:04:42,12/03/2019 14:19:12,PELA MANHA,12/03/2019 14:04:42,RODOVIA SP 070,0,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,24745501,
12/03/2019 17:05:32,12/03/2019 17:19:06,A TARDE,12/03/2019 17:05:32,AVENIDA FRANCISCA SALES DAMASCO,171,VILA SANTOS,CACAPAVA,SP,-23,977659510371,
13/03/2019 09:48:52,13/03/2019 09:53:26,PELA MANHA,13/03/2019 09:48:52,RODOVIA SP 070,0,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,24745501,
