BO_INICIADO,DATAOCORRENCIA,PERIDOOCORRENCIA,DATAELABORACAO,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL
10/2019,29/12/2018,A NOITE,03/01/2019 09:35:54,VIADUTO RAQUEL MARCONDES,0,CENTRO,S.JOSE DOS CAMPOS,SP,-23,1870878989999,-45
21/2019,02/01/2019,A NOITE,03/01/2019 12:48:17,RUA ELMANO FERREIRA VELOSO,200,JARDIM ESTORIL,S.JOSE DOS CAMPOS,SP,-23,2499805773048,-45
5397/2019,31/12/2018,A TARDE,03/01/2019 14:31:38,AVENIDA DOUTOR JOAO BATISTA SOARES DE QU,0,JARDIM DAS IND�STRIAS,S.JOSE DOS CAMPOS,SP,-23,223766967,-45
17/2019,30/12/2018,A NOITE,03/01/2019 16:15:07,RUA DOM JOAO VI,1,JARDIM IMPERIAL,S.JOSE DOS CAMPOS,SP,-23,275946974,-45
34/2019,04/01/2019,DE MADRUGADA,04/01/2019 07:15:52,AVENIDA JORGE ZARRUR,100,URBANOVA,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
24/2019,04/01/2019,EM HORA INCERTA,04/01/2019 10:53:16,RUA PADRE WILSON CUNHA,799,CONJUNTO HABITACIONAL DOM PEDRO II,S.JOSE DOS CAMPOS,SP,-23,273769994,-45
22/2019,28/12/2018,A NOITE,04/01/2019 14:44:40,AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK,7838,JARDIM VALPARA�BA,S.JOSE DOS CAMPOS,SP,-23,177390359,-45
56/2019,31/12/2018,PELA MANHA,04/01/2019 15:39:49,,0,,S.JOSE DOS CAMPOS,SP,-23,2472448,Resid�ncia
12648/2019,01/01/2019,A NOITE,05/01/2019 00:02:32,RUA GOVERNADOR VALADARES,40,VILA IRACEMA,S.JOSE DOS CAMPOS,SP,-23,1748299,-45
14134/2019,20/12/2018,PELA MANHA,05/01/2019 15:48:30,RUA ALBERTO RENART,662,JARDIM SANTA INES I,S.JOSE DOS CAMPOS,SP,-23,231166236125,-45
43/2019,06/01/2019,A NOITE,07/01/2019 11:22:34,AVENIDA ANDROMEDA,2000,JARDIM SAT�LITE,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
7/2019,04/01/2019,DE MADRUGADA,07/01/2019 16:08:55,AVENIDA JORGE ZARRUR,100,URBANOVA,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
7/2019,04/01/2019,DE MADRUGADA,07/01/2019 16:08:55,AVENIDA JORGE ZARRUR,100,URBANOVA,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
7/2019,04/01/2019,DE MADRUGADA,07/01/2019 16:08:55,AVENIDA JORGE ZARRUR,100,URBANOVA,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
7/2019,04/01/2019,DE MADRUGADA,07/01/2019 16:08:55,AVENIDA JORGE ZARRUR,100,URBANOVA,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
7/2019,04/01/2019,DE MADRUGADA,07/01/2019 16:08:55,AVENIDA JORGE ZARRUR,100,URBANOVA,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
7/2019,04/01/2019,DE MADRUGADA,07/01/2019 16:08:55,AVENIDA JORGE ZARRUR,100,URBANOVA,S.JOSE DOS CAMPOS,SP,-23,2028281237091,-45
